RA,DEC
13.83333,46.21583	
85.83446,-41.03225	
99.13562,35.59536	
106.03612,26.41969	
120.84500,-28.47467	
128.27396,-22.80906	
129.59162,48.63392	
129.70462,-48.52353	
141.97121,-69.74497	
227.35837,-66.82314	
252.48179,-33.11717	
253.68208,-19.27222	
255.36729,-43.10342	
259.89963,-41.01492	
262.58958,-5.99264	
265.03800,-28.79056	
265.06708,-29.06058	
267.47758,-29.72647	
270.91529,40.20572	
274.34242,-25.14517	
277.70808,-12.53864	
279.83325,-4.89814	
283.37750,-1.47108	
291.61250,13.36803	
301.59333,36.69544	
303.90400,37.18969	
314.21683,-30.24394	
320.93679,42.30061	
339.68267,1.13908	
348.88275,-30.81322	
353.35800,15.37281	
353.50646,39.36192	
